window_start,window_end,question_type,mask_time,mask_path,review_start,review_end,question_text,question_options,correct_option
53,,lumen,,data/masks/perception_lumen_masks/frame_00_52_mask.png,,,Where is the lumen? quiz 1,,
103,,lumen,,data/masks/perception_lumen_masks/frame_01_43_mask.png,,,Where is the lumen? quiz 2,,
135,,lumen,,data/masks/perception_lumen_masks/frame_02_15_mask.png,,,Where is the lumen? quiz 3,,
182,,location,,,Sigmoid|Descending colon|Splenic flexure|Transverse colon|Hepatic flexure,3,Where are we now? quiz 1,,
221,,location,,,Sigmoid|Descending colon|Splenic flexure|Transverse colon|Hepatic flexure,4,Where are we now? quiz 2,,
321,,location,,,Sigmoid|Descending colon|Splenic flexure|Transverse colon|Hepatic flexure,2,Where are we now? quiz 3,,
362,,position,,,Left lateral|Supine|Right lateral|Prone,3,Position-change prompt 1,,
416,,position,,,Left lateral|Supine|Right lateral|Prone,2,Position-change prompt 2,,
396,399,polyp,407.067,data/masks/polyp_masks/polyp_1_best_frame_mask.png,410,420,Polyp 1 detection,,
486,489,polyp,503.667,data/masks/polyp_masks/polyp_2_best_frame_mask.png,507,517,Polyp 2 detection,,
511,516,polyp,518.667,data/masks/polyp_masks/polyp_3_best_frame_mask.png,522,532,Polyp 3 detection,,
558,564,polyp,576.667,data/masks/polyp_masks/polyp_4_best_frame_mask.png,580,590,Polyp 4 detection,,
606,,position,,,Left lateral|Supine|Right lateral|Prone,4,Position-change prompt 3,,
646,657,polyp,659.667,data/masks/polyp_masks/polyp_5_best_frame_mask.png,663,673,Polyp 5 detection,,
740,,position,,,Left lateral|Supine|Right lateral|Prone,1,Position-change prompt 4,,
748,752,polyp,754.417,data/masks/polyp_masks/polyp_6_best_frame_mask.png,758,768,Polyp 6 detection,,
792,799,polyp,801,data/masks/polyp_masks/polyp_7_best_frame_mask.png,805,815,Polyp 7 detection,,
814,823,polyp,825.967,data/masks/polyp_masks/polyp_8_best_frame_mask.png,830,840,Polyp 8 detection,,
845,849,polyp,849.667,data/masks/polyp_masks/polyp_9_best_frame_mask.png,853,863,Polyp 9 detection,,
954,956,polyp,974.5,data/masks/polyp_masks/polyp_10_best_frame_mask.png,978,988,Polyp 10 detection,,
